Type,SKU,Name,Parent,Regular Price,,Published,Stock,,Description,Weight,Length,Width,,,Images,Attribute 1 Name,Attribute 1 Value(s),Attribute 1 Visible,Attribute 1 Global,Attribute 2 Name,Attribute 2 Value(s),Attribute 2 Visible,Attribute 2 Global,Attribute 3 Name,Attribute 3 Value(s),Attribute 3 Visible,Attribute 3 Global,Attribute 4 Name,Attribute 4 Value(s),Attribute 4 Visible,Attribute 4 Global,Attribute 5 Name,Attribute 5 Value(s),Attribute 5 Visible,Attribute 5 Global,Attribute 6 Name,Attribute 6 Value(s),Attribute 6 Visible,Attribute 6 Global
variation,B01515-RD.W,Diamond Chain Bracelet - ,id:23434,4 485.00,,1,1,,A classic chain and diamond bracelet that is perfect for any occasion.,17.78,0.5,0.1,,,https://luvente.com/cdn/shop/files/c9a53fa70b52bee086e36ddc645e5c1244218571fa56d5690651d94d99b089a3.jpg,,,,,,,,,,,,,Metal,14KW,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01515-RD.Y,Diamond Chain Bracelet - ,id:23434,4 485.00,,1,1,,A classic chain and diamond bracelet that is perfect for any occasion.,17.78,0.5,0.1,,,https://luvente.com/cdn/shop/files/8f12d865ba7404a3cd1ba9849b251b96520c02e1013930a5184dad57705a2f2d_e266962a-f512-4c0e-983e-d259d872b021.jpg,,,,,,,,,,,,,Metal,14KY,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01554-BL.W,Enamel Chain Bracelet - Black,id:23440,2 650.00,,1,1,,"Glam up your wardrobe with this dazzling, gold and enamel bracelet. The perfect piece to add a touch of sparkle without going overboard, it features an eye-catching chain with gold finish and a rectangular chain adorned with delicate enamel",17.78,0.4,0.1,,,https://luvente.com/cdn/shop/files/0f5172da7be2f3a75b56c1a3977679008dbb75a80513801a8124b0b5143a30e0.jpg,,,,,Color,Black,1,1,,,,,Metal,14KW,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01554-BL.Y,Enamel Chain Bracelet - Black,id:23440,2 650.00,,1,1,,"Glam up your wardrobe with this dazzling, gold and enamel bracelet. The perfect piece to add a touch of sparkle without going overboard, it features an eye-catching chain with gold finish and a rectangular chain adorned with delicate enamel",17.78,0.4,0.1,,,https://luvente.com/cdn/shop/files/d1aed609dfcafcb29a696b4c70ec312bfa545f984cd73f269596cc9360cb16bd_84e598cf-b717-4acd-bcf5-7af44999423d.jpg,,,,,Color,Black,1,1,,,,,Metal,14KY,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01554-GREEN.Y,Enamel Chain Bracelet - Green,id:23440,2 650.00,,1,1,,"Glam up your wardrobe with this dazzling, gold and enamel bracelet. The perfect piece to add a touch of sparkle without going overboard, it features an eye-catching chain with gold finish and a rectangular chain adorned with delicate enamel",17.78,0.4,0.1,,,https://luvente.com/cdn/shop/files/541d45c75d524a9e41ce28a6a8bea7801e9dee4b15db5bafb1030abd73bf6b89.jpg,,,,,Color,Green,1,1,,,,,Metal,14KY,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01554-NAVY.W,Enamel Chain Bracelet - Navy,id:23440,2 650.00,,1,1,,"Glam up your wardrobe with this dazzling, gold and enamel bracelet. The perfect piece to add a touch of sparkle without going overboard, it features an eye-catching chain with gold finish and a rectangular chain adorned with delicate enamel",17.78,0.4,0.1,,,https://luvente.com/cdn/shop/files/a1b830c6891592f338efe787a70f8f1f56fcd1ff52e872d17b43fd7266663e76.jpg,,,,,Color,Navy,1,1,,,,,Metal,14KW,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01554-NAVY.Y,Enamel Chain Bracelet - Navy,id:23440,2 650.00,,1,1,,"Glam up your wardrobe with this dazzling, gold and enamel bracelet. The perfect piece to add a touch of sparkle without going overboard, it features an eye-catching chain with gold finish and a rectangular chain adorned with delicate enamel",17.78,0.4,0.1,,,https://luvente.com/cdn/shop/files/5d265b74fb145976437b5234c7a6b7e89b9312ec66ba3cc8d14b6dfd61f71706.jpg,,,,,Color,Navy,1,1,,,,,Metal,14KY,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01554-RED.Y,Enamel Chain Bracelet - Red,id:23440,2 650.00,,1,1,,"Glam up your wardrobe with this dazzling, gold and enamel bracelet. The perfect piece to add a touch of sparkle without going overboard, it features an eye-catching chain with gold finish and a rectangular chain adorned with delicate enamel",17.78,0.4,0.1,,,https://luvente.com/cdn/shop/files/d09d9e43f1aa4f926d4e672cf044ff9affa7b33374f86b594e48c4fbe76e13df_e93b99a1-15f6-4022-bde4-5447c5926249.jpg,,,,,Color,Red,1,1,,,,,Metal,14KY,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01554-TRQ.18KY,Gold and Enamel Chain Bracelet - Turquoise,id:23440,3 650.00,,1,1,,"Glam up your wardrobe with this dazzling, gold and enamel bracelet. The perfect piece to add a touch of sparkle without going overboard, it features an eye-catching chain with gold finish and a rectangular chain adorned with delicate enamel",17.78,0.4,0.1,,,https://luvente.com/cdn/shop/files/ee79f02b2e51004a28f5658733289c7730fc4ea03f751cc0ea9a32a921e27099_df684b4e-acaf-469c-ab95-2fdb4697e9d6.jpg,,,,,Color,Turquoise,1,1,,,,,Metal,18KY,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01554-TRQ.W,Enamel Chain Bracelet - Turquoise,id:23440,2 650.00,,1,1,,"Glam up your wardrobe with this dazzling, gold and enamel bracelet. The perfect piece to add a touch of sparkle without going overboard, it features an eye-catching chain with gold finish and a rectangular chain adorned with delicate enamel",17.78,0.4,0.1,,,https://luvente.com/cdn/shop/files/f45498dc127d0b3cd68f31411d264f2657b784c81fc2a6deffe4d160780d2349.jpg,,,,,Color,Turquoise,1,1,,,,,Metal,14KW,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
